dataset,source,model,with_std,helper_datasets,mean,std,count
archi,hcp_rs_positive,factored,True,brainomics__camcan__hcp,0.8654273504273506,0.012757304070541995,20
archi,hcp_rs_positive,factored,True,hcp,0.8665384615384617,0.01182122984714788,20
archi,hcp_rs_positive,factored,True,none,0.8520085470085471,0.012626436270586346,20
archi,hcp_rs_positive,logistic_dropout,True,none,0.8030341880341882,0.01556221526010925,20
archi,hcp_rs_positive,logistic_l2_sklearn,False,none,0.7961965811965814,0.014823254167972857,20
archi,hcp_rs_positive_single,factored,True,brainomics__camcan__hcp,0.8674786324786327,0.014412947743568591,20
archi,hcp_rs_positive_single,factored,True,hcp,0.868589743589744,0.011580038718215932,20
archi,hcp_rs_positive_single,factored,True,none,0.8532051282051283,0.013091674297023964,20
archi,hcp_rs_positive_single,logistic_dropout,True,none,0.799786324786325,0.019604015200533054,20
archi,hcp_rs_positive_single,logistic_l2_sklearn,False,none,0.8050854700854704,0.01596225280396192,20
brainomics,hcp_rs_positive,factored,True,archi__camcan__hcp,0.906678486997636,0.016353906172498767,20
brainomics,hcp_rs_positive,factored,True,hcp,0.8929078014184396,0.015308415479795973,20
brainomics,hcp_rs_positive,factored,True,none,0.8904255319148934,0.018870099848182074,20
brainomics,hcp_rs_positive,logistic_dropout,True,none,0.8207446808510639,0.02047080956085707,20
brainomics,hcp_rs_positive,logistic_l2_sklearn,False,none,0.8450354609929078,0.019220691460966687,20
brainomics,hcp_rs_positive_single,factored,True,archi__camcan__hcp,0.909278959810875,0.01291369200911117,20
brainomics,hcp_rs_positive_single,factored,True,hcp,0.8906028368794324,0.01673175215925838,20
brainomics,hcp_rs_positive_single,factored,True,none,0.8848699763593381,0.016380526855882364,20
brainomics,hcp_rs_positive_single,logistic_dropout,True,none,0.8158983451536642,0.019871464253805843,20
brainomics,hcp_rs_positive_single,logistic_l2_sklearn,False,none,0.8353427895981088,0.01931305695914964,20
camcan,hcp_rs_positive,factored,True,archi__brainomics__hcp,0.6212211221122111,0.008286599532199714,20
camcan,hcp_rs_positive,factored,True,hcp,0.6088778877887788,0.011251682628135416,20
camcan,hcp_rs_positive,factored,True,none,0.6039273927392739,0.010123095047131787,20
camcan,hcp_rs_positive,logistic_dropout,True,none,0.6011551155115511,0.010456041639804686,20
camcan,hcp_rs_positive,logistic_l2_sklearn,False,none,0.5822442244224423,0.02051397871115067,20
camcan,hcp_rs_positive_single,factored,True,archi__brainomics__hcp,0.6191089108910892,0.00999543857658717,20
camcan,hcp_rs_positive_single,factored,True,hcp,0.6098679867986798,0.009893981654781985,20
camcan,hcp_rs_positive_single,factored,True,none,0.6058745874587459,0.010046752872515023,20
camcan,hcp_rs_positive_single,logistic_dropout,True,none,0.6037953795379538,0.012563860666859291,20
camcan,hcp_rs_positive_single,logistic_l2_sklearn,False,none,0.587095709570957,0.014795951215504477,20
la5c,hcp_rs_positive,factored,True,archi__brainomics__camcan__hcp,0.5772151792821404,0.009789928432287575,20
la5c,hcp_rs_positive,factored,True,hcp,0.5947574597648344,0.011997836159482807,20
la5c,hcp_rs_positive,factored,True,none,0.5916560888883774,0.011103077418021547,20
la5c,hcp_rs_positive,logistic_dropout,True,none,0.5673402035387222,0.012490418928187716,20
la5c,hcp_rs_positive,logistic_l2_sklearn,False,none,0.5377795583148337,0.01081208461626906,20
la5c,hcp_rs_positive_single,factored,True,archi__brainomics__camcan__hcp,0.5764087194714556,0.00989636678503284,20
la5c,hcp_rs_positive_single,factored,True,hcp,0.594751861855341,0.012272994852504769,20
la5c,hcp_rs_positive_single,factored,True,none,0.5924006751713365,0.013460047994881475,20
la5c,hcp_rs_positive_single,logistic_dropout,True,none,0.5684779722246455,0.013709061307801541,20
la5c,hcp_rs_positive_single,logistic_l2_sklearn,False,none,0.5405281392006149,0.009750605333232748,20
